ID,Type,Label,Parent,Text definition,Comments,Subclass of,Equivalent to,Disjoint with,Ignore
FOVT_000001,Class,'hind foot length’,,The length of a hind foot,,,length and ('inheres in' some 'hind foot'),,
FOVT_000002,Class,'hind foot length with claw',,The length of a hind foot that includes a cutaneous appendage,Cutaneous appendage in this case is meant to be a taxonomically non-specific way to refer to a claw or nail.,,length and ('inheres in' some 'hind foot') and (has_part some 'cutaneous appendage'),,
FOVT_000003,Class,'hind foot length without claw',,The length of a hind foot that does not include a cutaneous appendage,Cutaneous appendage in this case is meant to be a taxonomically non-specific way to refer to a claw or nail.,,length and ('inheres in' some 'hind foot') and (not (has_part some 'cutaneous appendage')),,
,,,,,,,,,
FOVT_000004,Class,femur with tall head',,A femur where the anatomical position of the head of the femur is the tallest point,,,femur,,
FOVT_000005,Class,femur with short head',,A femur where the anatomical position of the head of the femur is not the tallest point,,,femur,,
FOVT_000006,Class,'femur length’,,The length of a femur,,,length and ('inheres in' some femur),,
FOVT_000007,Class,femur length to head’,,The length of a 'femur with tall head',,,length and ('inheres in' some 'femur with tall head'),,
FOVT_000008,Class,femur length beyond head’,,The length of a 'femur with short head',,,length and ('inheres in' some 'femur with short head'),,
FOVT_000009,Class,femur circumference',,The circumference of a femur,,,circumference and ('inheres in' some femur),,
,,,,,,,,,
FOVT_000010,Class,'tibia length’,,The length of a tibia,,,length and ('inheres in' some tibia),,
FOVT_000011,Class,'tibia proximal breadth’,,The width of the proximal region of the tibia,,,width and ('inheres in' some 'distal epiphysis of tibia'),,
FOVT_000012,Class,'tibia distal depth’,,The depth of the distal region of the tibia,,,depth and ('inheres in' some (‘distal region’ 'part of' some tibia)),,
FOVT_000013,Class,'proximal epiphysis of tibia length’,,The length of the proximal epiphysis of the tibia,,,length and ('inheres in' some 'proximal epiphysis of tibia'),,
FOVT_000014,Class,distal epiphysis of tibia size trait’,,The size of the distal epiphysis of the tibia,,,size and ('inheres in' some 'distal epiphysis of tibia'),,
FOVT_000015,Class,'distal epiphysis of tibia length’,,The length of the distal epiphysis of the tibia,,,length and ('inheres in' some 'distal epiphysis of tibia'),,
