label,ID,Method,Related entities,Ignore,Exclude
ear size,OBA:0003439,locality,,,
manus length,OBA:1000048,locality,,,
pes length,OBA:1000049,locality,,,
humerus,UBERON:0000976,locality,,,
ear,UBERON:0001690,locality,,,
tubercle,UBERON:0005813,locality,,,
length,PATO:0000122,locality,,,
width,PATO:0000921,locality,,,
depth,PATO:0001595,locality,,,
height,PATO:0000119,locality,,,
mandible morphology trait,,locality,,Y,
maxilla morphology trait,,locality,,Y,
body length,http://purl.obolibrary.org/obo/OBA_VT0001256,locality,,,
femur length,http://purl.obolibrary.org/obo/OBA_VT0004348,locality,,,
proximal epiphysis of humerus,UBERON:0004411,locality,,,
distal epiphysis of radius size,OBA:0002716,locality,,,
femur circumference,http://purl.obolibrary.org/obo/OBA_VT0010014,locality,,,
proximal epiphysis of tibia size,OBA:0003298,locality,,,
distal epiphysis of tibia,UBERON:0004405,locality,,,
tooth row,UBERON:0009678,locality,,,
cutaneous appendage,UBERON:0000021,locality,,,
